regime,moneyness,option_type,vol_method,mean_sigma,mean_delta,sd_delta,mean_bs_price,n_obs,vol_method_label
calm,ATM,call,iv_inception_vix,0.23350000381469727,0.7236341849914839,0.1805918723499395,22.775459968265135,63,VIX-Implied Volatility
calm,ATM,call,iv_inception_vix3m,0.26780000686645505,0.7096775277363935,0.16883933111030605,24.25594236230018,63,VIX3M-Implied Volatility
calm,ATM,call,rv_20d,0.13965842907339146,0.7877312216115198,0.22664951016676693,19.800164002064474,63,20-Day Realized Volatility
calm,ATM,call,rv_60d,0.14868332428340764,0.7666568741317121,0.21829450931827984,19.565579092980922,63,60-Day Realized Volatility
calm,ATM,put,iv_inception_vix,0.23350000381469727,-0.27476746160394905,0.17967732238588302,7.89427896646181,63,VIX-Implied Volatility
calm,ATM,put,iv_inception_vix3m,0.26780000686645505,-0.28872411885903954,0.16792329458342198,9.374761360496853,63,VIX3M-Implied Volatility
calm,ATM,put,rv_20d,0.13965842907339146,-0.21067042498377267,0.225782967892362,4.918983000261145,63,20-Day Realized Volatility
calm,ATM,put,rv_60d,0.14868332428340764,-0.23174477246371822,0.21740494311913725,4.684398091177594,63,60-Day Realized Volatility
calm,OTM,call,iv_inception_vix,0.23350000381469727,0.5149109650698025,0.16672321228628373,11.378958976626603,63,VIX-Implied Volatility
calm,OTM,call,iv_inception_vix3m,0.26780000686645505,0.5181350394954057,0.14863162942512778,13.075375955614374,63,VIX3M-Implied Volatility
calm,OTM,call,rv_20d,0.13965842907339146,0.5344737554245947,0.23845804441240942,7.138311717248396,63,20-Day Realized Volatility
calm,OTM,call,rv_60d,0.14868332428340764,0.5088093153342387,0.23566350387171542,7.477061257308017,63,60-Day Realized Volatility
highvol,ATM,call,iv_inception_vix,0.196299991607666,0.1429025254985722,0.17251280474405792,3.5789166218794937,62,VIX-Implied Volatility
highvol,ATM,call,iv_inception_vix3m,0.24209999084472655,0.1701322457153576,0.17430788843001574,5.053613084275978,62,VIX3M-Implied Volatility
highvol,ATM,call,rv_20d,0.27031017263338053,0.1853654653583828,0.1531215219408865,4.58695825445703,62,20-Day Realized Volatility
highvol,ATM,call,rv_60d,0.25127925749083946,0.17260826465330528,0.16663306678269996,4.625822704645504,62,60-Day Realized Volatility
highvol,ATM,put,iv_inception_vix,0.196299991607666,-0.8553291430830069,0.17340713079081763,47.17401064933366,62,VIX-Implied Volatility
highvol,ATM,put,iv_inception_vix3m,0.24209999084472655,-0.8280994228662223,0.17523755428983434,48.64870711173014,62,VIX3M-Implied Volatility
highvol,ATM,put,rv_20d,0.27031017263338053,-0.812866203223197,0.15407140265396999,48.18205228191119,62,20-Day Realized Volatility
highvol,ATM,put,rv_60d,0.25127925749083946,-0.8256234039278815,0.16756536116508616,48.22091673209967,62,60-Day Realized Volatility
highvol,OTM,call,iv_inception_vix,0.196299991607666,0.06807897185521158,0.10083641550669607,1.4846487519140108,62,VIX-Implied Volatility
highvol,OTM,call,iv_inception_vix3m,0.24209999084472655,0.09217574054144183,0.11734620629185957,2.474984766913236,62,VIX3M-Implied Volatility
highvol,OTM,call,rv_20d,0.27031017263338053,0.08975978051148671,0.08792609123166636,1.8918265752913048,62,20-Day Realized Volatility
highvol,OTM,call,rv_60d,0.25127925749083946,0.08778034108963502,0.10521767261311663,2.0602016697104193,62,60-Day Realized Volatility
recent,ATM,call,iv_inception_vix,0.16290000915527345,0.6345287266149475,0.13177199408910056,20.105053082272477,60,VIX-Implied Volatility
recent,ATM,call,iv_inception_vix3m,0.18760000228881835,0.6231106342153002,0.12083862895862843,22.143813468669613,60,VIX3M-Implied Volatility
recent,ATM,call,rv_20d,0.12408009660674879,0.6603972550848795,0.14917165720545236,16.830648282332113,60,20-Day Realized Volatility
recent,ATM,call,rv_60d,0.11306943551425777,0.6667158229074428,0.15569896496177918,15.755204098795907,60,60-Day Realized Volatility
recent,ATM,put,iv_inception_vix,0.16290000915527345,-0.3639546598974076,0.13120281372980214,10.912969404321638,60,VIX-Implied Volatility
recent,ATM,put,iv_inception_vix3m,0.18760000228881835,-0.3753727522970548,0.12027284731110677,12.95172979071877,60,VIX3M-Implied Volatility
recent,ATM,put,rv_20d,0.12408009660674879,-0.3380861314274756,0.1486438768171426,7.638564604381261,60,20-Day Realized Volatility
recent,ATM,put,rv_60d,0.11306943551425777,-0.33176756360491233,0.15517491526235613,6.563120420845058,60,60-Day Realized Volatility
recent,OTM,call,iv_inception_vix,0.16290000915527345,0.2490379746694385,0.09062200765987682,5.934928109120846,60,VIX-Implied Volatility
recent,OTM,call,iv_inception_vix3m,0.18760000228881835,0.27810759830350806,0.08696173710666245,7.742923833569886,60,VIX3M-Implied Volatility
recent,OTM,call,rv_20d,0.12408009660674879,0.18395228499988542,0.10610425734399241,3.3922075106527867,60,20-Day Realized Volatility
recent,OTM,call,rv_60d,0.11306943551425777,0.16757474820508508,0.08212109131059593,2.405016190156124,60,60-Day Realized Volatility
stress,ATM,call,iv_inception_vix,0.17969999313354493,0.18772749581592404,0.27424618870088213,4.350900000530154,62,VIX-Implied Volatility
stress,ATM,call,iv_inception_vix3m,0.18040000915527343,0.18777742962771027,0.2740598225343685,4.364135767592145,62,VIX3M-Implied Volatility
stress,ATM,call,rv_20d,0.5069726576112166,0.3065989374898844,0.23530092025084362,7.3538657822868005,62,20-Day Realized Volatility
stress,ATM,call,rv_60d,0.5955649552396387,0.08627115291936285,0.04997342756149703,1.4298529155331838,23,60-Day Realized Volatility
stress,ATM,put,iv_inception_vix,0.17969999313354493,-0.8101213350362276,0.2752820669704523,41.07166217275991,62,VIX-Implied Volatility
stress,ATM,put,iv_inception_vix3m,0.18040000915527343,-0.810071401225817,0.27509620852445216,41.08489793982189,62,VIX3M-Implied Volatility
stress,ATM,put,rv_20d,0.5069726576112166,-0.6912498933648016,0.2363920930109153,44.07462795451655,62,20-Day Realized Volatility
stress,ATM,put,rv_60d,0.5955649552396387,-0.9129332873822359,0.05021398441188687,51.58532225013345,23,60-Day Realized Volatility
stress,OTM,call,iv_inception_vix,0.17969999313354493,0.11337334912649617,0.1812045981354156,2.120669541527439,62,VIX-Implied Volatility
stress,OTM,call,iv_inception_vix3m,0.18040000915527343,0.11358774396185749,0.18133718258608933,2.132556343152219,62,VIX3M-Implied Volatility
stress,OTM,call,rv_20d,0.5069726576112166,0.19089702936047778,0.13754013076352975,3.9637315843753917,62,20-Day Realized Volatility
stress,OTM,call,rv_60d,0.5955649552396387,0.04283164924656901,0.03056475064665384,0.6580434809829745,23,60-Day Realized Volatility
